제목,날짜,URL,내용
전자금융감독규정 일부개정고시안 규정변경예고,2024-10-28,https://www.fsc.go.kr/po040301/view?noticeId=4024&curPage=1&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"▣ 금융위원회 공고 제2024-386호

「전자금융감독규정」 일부를 개정함에 있어 그 개정 이유과 주요 내용을 국민에게 미리 알려 이에 대한 의견을 듣고자 행정절차법 제41조에 따라 다음과 같이 「전자금융감독규정 일부개정고시안」을 공고합니다.

2024년 10월 28일
금융위원회 위원장

1. 개정 이유

   '24.8.13일 발표한 「금융분야 망분리 개선 로드맵」에 따라 금융회사 등이 연구 개발 목적으로 망분리 규제 예외 적용시 가명처리된 개인신용정보 활용을 허용하고, 클라우드컴퓨팅서비스 이용을 위한 위수탁 계약시 기본 포함사항을 간소화하고자 함



2. 주요 내용

  가. 연구·개발 목적으로 망분리 규제 예외 적용시 가명처리된 개인신용정보 활용을 허용(안 제15조제1항제3호 및 제5호)

  나. 클라우드컴퓨팅서비스 위수탁 계약서 주요 기재사항 중 기본포함 사항 간소화(안 별표2의5)


3. 의견 제출

  이 개정안에 대하여 의견이 있는 단체 또는 개인은 2024년 12월 9일까지 다음 사항을 기재한 의견서를 금융위원회(참조 : 금융안전과, 전화 : 02-2100-2975, 팩스 : 02-2100-2946, 이메일 : hong0301@korea.kr)로 제출하여 주시기 바랍니다.

  가. 입법예고사항에 대한 의견(찬성 또는 반대 의견과 그 사유 및 기타 참고사항)
  나. 성명(단체의 경우 단체명과 대표자명), 주소 및 전화번호
  다. 보내실 곳 : 금융위원회 금융안전과(주소 : 03171, 서울특별시 종로구 세종대로 209)


※ 자세한 사항은 금융위원회 홈페이지(www.fsc.go.kr/법령정보/입법예고)를 참고하시기 바랍니다."
보험업감독규정 일부개정고시안 규정변경예고,2024-10-28,https://www.fsc.go.kr/po040301/view?noticeId=4023&curPage=1&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"▣ 금융위원회 공고 제2024-384호

「보험업감독규정」일부를 개정함에 있어 그 개정이유와 주요 내용을 국민에게 미리 알려 이에 대한 의견을 듣고자 행정절차법 제41조에 따라 다음과 같이「보험업감독규정 일부개정고시안」을 공고합니다.
2024년 10월 28일
금융위원회 위원

1. 개정이유

해약환급금준비금 제도를 합리화하고, 지급여력제도(K-ICS) 관련 업무보고서 제출 및 경영공시 기한을 타 권역과 동일하게 단축하며 관련 외부검증 대상에 주석사항이 포함되도록 명시하고자 함

2. 주요 내용

가. 직전 분기말 지급여력비율이 일정 기준을 충족하는 보험회사의 경우 해약환급금준비금을 현행 산출방식에 따른 금액의 100분의 80만 적립하도록 적립비율을 인하(안 제6-11조의6제2항)
나. 지급여력제도 관련 업무보고서 제출 및 경영공시 기한을 타 권역과 동일한 수준으로 단축(금융위원회 고시 제2022-53호 부칙 제3조 삭제)
다. 회계법인의 지급여력비율 외부검증 대상에 주석사항이 포함되도록 명시하여 외부검증 정보의 질적 활용도를 제고(안 제6-8조제2항제4호)

3. 의견제출

이 개정안에 대하여 의견이 있는 단체 또는 개인은 2024년 11월 18일까지 다음 사항을 기재한 의견서를 금융위원회(참조: 보험과, 전화 : 02-2100-2964, 팩스 : 02-2100-2947, 이메일:soolee22@korea.kr)로 제출하여 주시기 바랍니다.

가. 입법예고사항에 대한 의견(찬성 또는 반대 의견과 그 사유 및 기타 참고사항)
나. 성명(단체의 경우 단체명과 대표자명), 주소 및 전화번호
다. 보내실 곳: 금융위원회 보험과 (주소 : 03171 서울특별시 종로구세종대로 209)
※ 자세한 사항은 금융위원회 홈페이지(www.fsc.go.kr/법령정보/입법예고)를 참고하시기 바랍니다"
「보험업법 시행규칙」 일부개정령안 입법예고,2024-10-16,https://www.fsc.go.kr/po040301/view?noticeId=4022&curPage=1&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"▣ 금융위원회 공고 제2024-367호

 「보험업법 시행규칙」 일부를 개정함에 있어 그 개정이유와 주요 내용을 국민에게 미리 알려 이에 대한 의견을 듣고자 행정절차법 제41조에 따라 다음과 같이「보험업법 시행규칙 일부개정령안」을 공고합니다.

                                       2024년  10월  16일
                                             금융위원회 위원장


1. 개정이유

   국가전문자격시험 수험생의 어학성적 시험 부담을 완화하기 위하여 보험계리사 및 손해사정사 제1차 시험의 영어 과목 대체시험인 공인어학시험성적 인정기한을 확대하고, 동 제도 운영 과정의 공정성을 제고하기 위해 공직경력특례제도의 개선을 추진하고자 함

2. 주요 내용 

 가. 국가자격시험 공인어학시험성적 인정기한 확대 (제46조, 제53조)
   보험계리사 및 손해사정사 제1차 시험의 영어 과목 대체시험인 공인어학시험성적 인정기한을 현행 2년에서 5년으로 확대 

 나. 국가자격시험 공직경력특례제도 개선 (제47조, 제53조)
   공직경력특례제도에 따른 보험계리사 및 손해사정사 제1차 시험 면제대상 기관에서 금융감독원을 삭제 

3. 의견제출

  이 개정안에 대하여 의견이 있는 단체 또는 개인은 2024년 11월 25일까지 통합입법예고센터(http://opinion.lawmaking.go.kr)를 통하여 법령안을 확인한 후 의견을 제출하시거나, 다음 사항을 기재한 의견서를 금융위원회(참조:보험과, 전화 : 02-2100-2964, 팩스 : 02-2100-2947, 이메일: soolee22@korea.kr)로 제출하여 주시기 바랍니다. 

  가. 입법예고사항에 대한 의견(찬성 또는 반대 의견과 그 사유 및 기타 참고사항)
  나. 성명(단체의 경우 단체명과 대표자명), 주소 및 전화번호
  다.보내실 곳
    - 금융위원회 보험과(주소 :우 03171 서울특별시 종로구 세종대로 209) 

※ 자세한 사항은 금융위원회 홈페이지(www.fsc.go.kr/법령정보/입법예고)를 참고하시기 바랍니다."
보험사기방지업무 감독규정 제정안 입법예고,2024-10-14,https://www.fsc.go.kr/po040301/view?noticeId=4021&curPage=1&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"◉금융위원회 공고 제2024-371호

 「보험사기업무 감독규정」을 제정함에 있어 그 제정 이유와 주요 내용을 국민에게 미리 알려 이에 대한 의견을 듣고자 행정절차법 제41조에 따라 다음과 같이 「보험사기업무 감독규정 제정안」을 공고합니다.

                                       2024년 10월 14일
 금융위원회

「보험사기업무 감독규정 제정안」규정변경 예고

1. 제정이유

  「보험사기방지 특별법」(이하 “법”이라 함) 및 동법 시행령(이하 “영”이라 함)이 개정됨에 따라 법·령에서 금융위원회에 위임한 사항을 규정하기 위함

2. 주요 내용 

가. 보고서식 마련(규정안 제2조)

  - 법 제4조 및 영 제2조에 따라 보험회사가 보험계약자, 피보험자 등의 보험사기 의심행위를 금융감독원에 보고할 때 필요한 보고서식을 마련

나. 요청 가능한 자료 추가 (규정안 제3조)

  - 법 제5조의3 및 영 제3조의4에 따라 보험사기조사를 위해 요청 가능한 자료에 요양기관 현황 및 자동차등록원부 등을 추가적으로 정함

다. 자동차 보험사기 피해사실 고지(규정안 제4조)

  - 법 제7조의2 및 영 제3조의4에 따라 피해자 확인 등 자동차보험사기 피해사실 고지를 위해 필요한 절차를 마련 

3. 의견제출

   이 개정안에 대하여 의견이 있는 기관‧단체 또는 개인은 2024년 11월 25일까지 통합입법예고센터(http://opinion.lawmaking.go.kr)를 통하여 법령안을 확인한 후 의견을 제출하시거나, 다음 사항을 기재한 의견서를 금융위원회(보험과)로 제출하여 주시기 바랍니다.

  가. 예고 사항에 대한 찬성 또는 반대 의견(반대 시 이유 명시)
  나. 성명(기관‧단체의 경우 기관‧단체명과 대표자명), 주소 및 전화번호
  다. 그 밖의 참고 사항 등

※ 제출의견을 보내실 곳
- 일반우편 : 03171 서울시 종로구 세종대로 209 정부서울청사 금융위원회 (보험과)
- 전자우편(이메일) : jeun60@korea.kr 
- 전화 : 02-2100-2967
- 팩스 : 02-2100-2947

4. 그 밖의 사항

   제정안에 대한 자세한 사항은 금융위원회 홈페이지(www.fsc.go.kr/정책마당/법령정보/입법예고)를 참고하시기 바랍니다."
「신용협동조합법 시행령」 일부개정령(안) 입법예고,2024-10-11,https://www.fsc.go.kr/po040301/view?noticeId=4020&curPage=1&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"◉ 금융위원회공고제2024-363호
 「신용협동조합법 시행령」을 개정하는 데에 있어, 그 개정이유와 주요내용을 국민에게 미리 알려 이에 대한 의견을 듣기 위하여 「행정절차법」 제41조에 따라 다음과 같이 공고합니다. 
 2024년 10월 17일
 금융위원회 위원장


「신용협동조합법 시행령」 일부개정령(안) 입법예고
   
1. 개정이유
 신용협동조합중앙회 건전성·유동성 위기 대응역량 확충을 위하여, 유동성 위기시 금융위원회의 승인없이도 적격담보채권의 범위 내에서 한국은행과 환매조건부채권매매를 할 수 있도록 하고, 예금자보호기금의 목표적립액을 달성했더라도 시장상황을 고려해 추가 적립할 수 있도록 목표적립액 달성시 예보기금 출연금을 면제하도록 하는 강행규정을 재량규정으로 완화하려는 것임
   

2. 주요내용
 가. 「신용협동조합법」 개정에 따른 위임조문 개정 (안 §13조제2항 후단)
 - 「신용협동조합법」제11조 제2항에서 위임한 사항을 동법 제11조 2항 2호에서 위임하는 것으로 변경
 나. 한국은행과 RP매매를 금융위 승인대상에서 제외 (안 §19조의5 제1항)
 - 한국은행과의 만기 91일이내 RP매매는 금융위원회 승인 대상에서 제외
 다. 예금자보호기금 출연금 면제 강행규정을 재량규정으로 완화 (안 §19조의16 제2항)
 - 예금자보호기금 목표적립금액 달성시 출연금을 면제해야 한다는 강행규정을 재량규정으로 변경
   

3. 의견제출
 이 개정안에 대해 의견이 있는 기관․단체 또는 개인은 2024년 11월 27일까지 국민참여입법센터(http://opinion.lawmaking.go.kr)를 통하여 온라인으로 의견을 제출하시거나, 다음 사항을 기재한 의견서를 금융위원회 위원장에게 제출하여 주시기 바랍니다.
 가. 예고 사항에 대한 찬성 또는 반대 의견(반대 시 이유 명시)
 나. 성명(기관ㆍ단체의 경우 기관ㆍ단체명과 대표자명), 주소 및 전화번호
 다. 그 밖의 참고 사항 등
   
 ※ 제출의견 보내실 곳
 - 일반우편 : 서울특별시 종로구 세종대로 209 정부서울청사 금융위원회 상호금융팀
 - 전자우편 : gudwns9512@korea.kr
 - 팩스 : 02-2100-1660
   

4. 그 밖의 사항
 개정안에 대한 자세한 사항은 금융위원회 상호금융팀(전화 (02) 2100 - 1661, 팩스 02-2100-1660)로 문의하여 주시기 바랍니다."
「신용정보의 이용 및 보호에 관한 법률 시행령 일부개정령안」 입법예고,2024-10-07,https://www.fsc.go.kr/po040301/view?noticeId=4019&curPage=1&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"◎ 금융위원회 공고 제2024 - 357호 

「신용정보의 이용 및 보호에 관한 법률 시행령」일부개정령안 입법예고를 하는데 있어, 그 이유와 주요내용을 국민에게 미리 알려 이에 대한 의견을 듣기위하여 ""행정절차법"" 제 41조에 따라 다음과 같이 공고합니다.  

2024년 10월 7일
금융위원회


「신용정보의 이용 및 보호에 관한 법률 시행령 일부개정령안」
 입법예고 


1. 개정이유

 기술신용평가회사 허가대상을 확대하고, 신용정보회사 정관의 변경을 사후보고로 변경하며, 개인신용정보의 전송요구대상을 확대하고, 기타 조문을 정비하는 등 신용정보업 주요개선사항에 관한 내용을 정하려는 것임. 

2. 주요내용 

가. 기술신용평가회사 허가대상 확대(안 제5조)

 기술평가 전문성과 경험을 보유한 사업자(예: 발명·기술평가기관)를 기술신용평가업 허가신청 가능대상에 추가함 

나. 신용정보회사 정관의 변경을 사전신고에서 사후보고로 변경 (안 제8조) 
 
 신용정보회사, 본인신용정보관리회사 및 채권추심회사의 사전신고 사항을 사후보고 사항으로 변경함

다. 채권추심회사에 채무확인서 교부를 위탁하는 자의 범위규정(안 제11조의2) 

 채권추심회사의 업무범위를 고려하여 채권추심회사의 추심대상이 되는 채권을 보유한 채권자를 채무확인서 교부업무의 위탁자로 규정함 

라. 개인신용정보의 전송요구대상을 확대(안 제28조의3) 

 정책수요자에게 맞춤형 공공서비스를 추천하기 위해 행정안전부장관이 정하여 고시하는 기관이 신용정보주체의 정보전송요구권 행사시 개인신용정보를 제공받을 수 있도록 규정함

마. 임원 겸직승인 심사업무를 금감원에 위탁(안 별표3)

 지배구조법과 동일하게 상임임원 겸직신청은 금융위원회가 접수하되 겸직승인 심사업무는 금융감독원에 위탁함 

바. 기타 조문 단순정비(안 제9조의2, 제17조의2, 별표1의2)

 기타 조문의 단순 오기 등을 정비하고자 함 

3. 의견제출

 이 개정안에 대하여 의견이 있는 기관·단체 또는 개인은 2024년11월 18일까지 통합입법예고센터 (http://opinion.lawmaking.go.kr)를 통하여 법령안을 확인한 후 의견을 제출하시거나, 다음 사항을 기재한 의견서를 금융위원회(참조 : 금융데이터정책과)로 제출하여 주시기 바랍니다. 

가. 입법예고사항에 대한 의견(찬성 또는 반대 의견과 그 사유 및 기타 참고사항)

나. 성명(단체의 경우 단체명과 대표자명), 주소 및 전화번호

다. 보내실 곳 : 금융위원회(금융데이터정책과) 
 · 주소 : (03171) 서울시 종로구 세종대로 209 정부서울청사
 · 전화 : 02-2100-2623 
 · 팩스 : 02-2100-2548 
 · 이메일 : yongjinshin@korea.kr 

※ 자세한 사항은 금융위원회 홈페이지(http://www.fsc.go.kr/ 지식마당/법령정보/입법예고)를 참고하시기 바랍니다."
「신용정보업감독규정」 일부개정규정(안) 규정변경예고(수정),2024-10-04,https://www.fsc.go.kr/po040301/view?noticeId=4018&curPage=1&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"◎ 금융위원회 공고 제2024-362호 

「신용정보업감독규정」을 일부 개정함에 있어 그 개정이유와 주요내용을 국민에게 미리 알려 이에 대한 의견을 듣기 위하여 「행정절차법」 제46조에 따라 다음과 같이 공고합니다. 

2024년 10월4일
금융위원회



「신용정보업감독규정」 일부개정규정(안) 규정변경예고



1. 개정이유

 데이터경제 활성화를 위해 금융권 마이데이터 서비스 이용 편의성을 개선하면서도, 이용자의 정보보호를 강화하여 본인신용정보관리업의건전한 발전을 도모하기 위함 


2. 주요내용 

가. 본인신용정보관리회사의 행위규칙(안 제23조의3)

 만 14세 이상 청소년의 마이데이터 서비스 이용을 개선하고, 마이데이터 대면영업을 위한 내부업무규정을 마련하며, 데이터 결합기준을 명확히 하고, 제3자에 정보 판매시 보안 강화를 규정

나. 행정안전부 장관이 정하여 고시하는 기관에 대한 개인신용정보전송 범위(안 제23조의4, 별표 1의3) 

 행정안전부에서 추진중인 맞춤형 정부혜택 알림·추천서비스의 운영기관이 서비스 이용자의 정보 전송요구권을 통해 제공받을 수 있는 개인신용정보 전송 범위를 규정


3. 의견제출 
 
 이 개정안에 대하여 의견이 있는 기관·단체 또는 개인은 2024년 11월 13일까지 다음 사항을 기재한 의견서를 금융위원회(참조 : 금융데이터정책과)로 제출하여 주시기 바랍니다.

 가. 입법예고사항에 대한 의견(찬성 또는 반대 의견과 그 사유 및 기타 참고사항)

 나. 성명(단체의 경우 단체명과 대표자명), 주소 및 전화번호

 다. 보내실 곳 : 금융위원회(금융데이터정책과)
  · 주소 : (03171) 서울시 종로구 세종대로 209 정부서울청사
  · 전화 : 02-2100-2622 · 팩스 : 02-2100-2548
  · 이메일 : yebinkim@korea.kr
  ※ 자세한 사항은 금융위원회 홈페이지(http://www.fsc.go.kr/지식마당/법령정보/입법예고)를 참고하시기 바랍니다."
「금융위원회와 그 소속기관 직제 시행규칙」 일부개정령안 입법예고,2024-09-25,https://www.fsc.go.kr/po040301/view?noticeId=4017&curPage=1&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"◎ 금융위원회 공고 제2024 - 333호 

  「금융위원회와 그 소속기관 직제 시행규칙」을 개정하는 데에 있어, 그 개정이유와 주요내용을 국민에게 미리 알려 이에 대한 의견을 듣기 위하여 「행정절차법」 제41조에 따라 다음과 같이 공고합니다. 

2024년 9월 25일 
금융위원회 
 
 
 「금융위원회와 그 소속기관 직제 시행규칙」 일부개정령안 입법예고 
 
 
 
1. 개정이유 및 주요내용
 
  금융위원회에 한시조직으로 설치한 기업구조개선과의 존속기한을 2024년 10월 15일까지에서 2026년 12월 25일까지로 연장하는 한편, 
  범정부 차원에서 인력을 통합하여 효율적으로 관리하기 위한 통합활용정원제 운영 계획에 따라 국정과제ㆍ정책현안 등의 추진을 위한 인력으로 활용하기 위하여 금융위원회의 정원 2명(5급 1명, 6급 1명)을 감축하는 내용으로 「금융위원회와 그 소속기관 직제」가 개정(대통령령 제0000호, 2024. 00. 00. 공포ㆍ시행)됨에 따라 변경되는 사항을 반영하려는 것임. 
 
 
2. 의견제출
 
  이 개정안에 대해 의견이 있는 기관․단체 또는 개인은 2024년 10월 2일까지 국민참여입법센터(http://opinion.lawmaking.go.kr)를 통하여 온라인으로 의견을 제출하시거나, 다음 사항을 기재한 의견서를 금융위원회(행정인사과, 02-2100-2752)에 제출하여 주시기 바랍니다. 
 가. 예고 사항에 대한 찬성 또는 반대 의견(반대 시 이유 명시) 
 나. 성명(기관ㆍ단체의 경우 기관ㆍ단체명과 대표자명), 주소 및 전화번호 
 다. 그 밖의 참고 사항 등 
 ※ 제출의견 보내실 곳 
   - 일반우편 : 03171 서울특별시 종로구 세종대로 209 
   - 전자우편 : noweyh@korea.kr 
   - 팩스 : (02) 2100 – 2759 
 
 
3. 그 밖의 사항
 
  개정안에 대한 자세한 사항은 금융위원회 홈페이지(www.fsc.go.kr/지식마당/법령정보/입법예고)를 참고하시기 바랍니다.「금융위원회와 그 소속기관 직제 시행규칙」 일부개정령안 입법예고"
은행업감독규정 일부개정(안) 규정변경예고,2024-09-23,https://www.fsc.go.kr/po040301/view?noticeId=4016&curPage=1&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"◉ 금융위원회공고 제2024-334호  

  은행업감독규정을 개정함에 있어, 그 개정이유와 주요내용을 미리 국민에게 알려 이에 대한 의견을 듣고자 「행정절차법」제41조에 따라  다음과 같이 공고합니다.

    2024년 9월 23일
        금융위원회 위원장


은행업감독규정 일부개정규칙(안) 입안예고


1. 개정이유 

  커버드본드에 대한 예대율 규제를 완화하여 은행의 발행유인을 제고하고 장기·고정금리 대출에 대한 자금조달 기반을 마련하고자 함


2. 주요내용 

 가. 현재는 은행의 원화 예대율 산정시 만기 5년 이상의 커버드본드 잔액을 원화예수금의 최대 1%까지 포함할 수 있으나, 현행 1% 한도에 더하여 만기 10년 이상 커버드본드 잔액에 대해 별도의 1% 인정한도를 추가로 부여하고자 함(안 제26조)


3. 의견 제출

 이 개정규칙안에 대하여 의견이 있는 단체 또는 개인은 다음 사항을 기재한 의견서를 2024년 11월 2일까지 금융위원회 위원장(참조 : 금융정책과)에게 제출하여 주시기 바랍니다.

 가. 입법예고 사항에 대한 항목별 의견(찬·반 의견과 그 이유) 

 나. 성명(단체인 경우에는 단체명과 대표자 성명), 주소 및 전화번호 

 다. 의견제출 방법 : 전자우편, 우편 또는 팩스, 전자공청회
  1) 전자우편(이메일) : fsc0894@korea.kr
  2) 주소 : 03171 서울시 종로구 세종대로 209 금융위원회 금융정책과
  3) 팩스 : 02-2100-1699
  4) 전자공청회 : 국민신문고(http://www.epople.go.kr)

 라. 기타 자세한 사항은 금융위원회 금융정책과(전화 : (02) 2100 - 1695)에 문의하여 주시기 바라며, 입법예고와 관련된 개정안은 금융위원회 홈페이지에 게재하였으니 참고하시기 바랍니다."
「신용정보업감독규정」 일부개정규정안 규정변경 예고,2024-09-20,https://www.fsc.go.kr/po040301/view?noticeId=4015&curPage=1&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"◎ 금융위원회공고 제2024-332호

 「신용정보업 감독규정」을 일부 개정함에 있어 그 개정이유와 주요내용을 국민에게 미리 알려 이에 대한 의견을 듣고자 행정절차법 제41조에 따라 다음과 같이 공고합니다.

2024년 9월 20일
금융위원회 위원장

신용정보업감독규정 일부개정고시안 규정변경예고

1. 개정이유

  기술신용평가를 받는 회사에서 자격증 등을 보유하고 있지 않음에도 보유하고 있는 것으로 평가하는 기업신용조회회사의 허위평가행위와 기업신용조회회사에서 평가자에게 특정 평가결과를 강요하는 행위를 규율하고자 함

2. 주요내용

가. 허위평가 행위 규율(안 제23조의2제2항제1호)
  평가에 기초가 되는 사실을 확인하지 않거나, 사실과 다른 내용을 기초로 평가하는 허위평가 행위 규정

나. 특정 평가결과 강요 행위 규율(안 제23조의2제2항제2호)
  회사에서 평가자에게 특정 평가결과를 요구하고, 요구에 응하지 않을 경우 인사상 등의 불이익을 주는 행위 규정

3. 참고사항

  이 개정안에 대하여 의견이 있는 단체 또는 개인은 2024년 10월 31일까지 다음 사항을 기재한 의견서를 금융위원회(참조 : 산업금융과, 전화 : 02-2100-2865, 팩스 : 02-2100-2879, 이메일 : parkwlsdn@korea.kr)로 제출하여 주시기 바랍니다.

  가. 입법예고사항에 대한 의견(찬성 또는 반대 의견과 그 사유 및 기타 참고사항)
  나. 성명(단체의 경우 단체명과 대표자명), 주소 및 전화번호
  다. 보내실 곳 : 금융위원회 산업금융과(주소 : 03171 서울시 종로구 세종대로 209)

  ※ 자세한 사항은 금융위원회 홈페이지(www.fsc.go.kr/법령정보/입법예고)를 참고하시기 바랍니다."
