ds,yhat,yhat_lower,yhat_upper
2009-12-01,13356.365895651745,11147.753157092968,15822.043434555846
2010-01-01,16126.805414728136,13855.518774303353,18454.8132912998
2010-02-01,14942.504315123895,12836.891154823048,17117.88778435937
2010-03-01,11930.350258916977,9883.979026924733,14131.001701756615
2010-04-01,12918.22607690692,10659.506415842034,15277.324982448818
2010-05-01,14384.882851597904,12088.213110372117,16731.23550225255
2010-06-01,12972.34764178076,10831.819175126842,15364.887899989395
2010-07-01,11934.12969337466,9731.963340788543,14182.13094074283
2010-08-01,13583.5824163022,11317.341797592864,15867.748841034612
2010-09-01,20788.30344698398,18548.49939581383,22959.01788979846
2010-10-01,14188.60677346836,11887.058297981597,16623.2375796729
2010-11-01,14382.203879177268,11875.660843517859,16442.33088701654
2010-12-01,14501.99782580155,12402.431915098656,16883.86042519363
2011-01-01,17823.967507395257,15544.347737227801,20042.482842106685
2011-02-01,15483.017321369842,13277.808171938934,17720.68118421496
2011-03-01,13156.343894456757,10800.202531244711,15299.485888896123
2011-04-01,14048.993978837727,11785.882679507455,16300.473598777404
2011-05-01,15317.76220976453,12879.66453736513,17566.462030887873
2011-06-01,14280.373286268288,12063.500778019088,16565.056802586434
2011-07-01,12989.724199950564,10843.668278514038,15227.545664265572
2011-08-01,14862.151054293525,12494.826450944465,17187.759919425927
2011-09-01,21801.914737289226,19514.942370471912,24181.651498186075
2011-10-01,14928.902508161173,12618.088210332447,17159.65713501939
2011-11-01,15571.005815746412,13343.07062973904,17828.481436443726
2011-12-01,15654.324048286575,13508.084689593927,17891.522551824688
2012-01-01,19511.19764905129,17185.936427505218,21810.671348985317
2012-02-01,16014.827427789252,13608.143749935214,18188.037861847675
2012-03-01,13884.86761216299,11678.20379296945,16041.227117660093
2012-04-01,15041.753808271673,12806.833867820034,17366.203828048066
2012-05-01,16913.82707093779,14814.699174142546,19227.181598125044
2012-06-01,14751.814307054712,12516.056825011601,17018.63908263982
2012-07-01,14210.148160660403,11927.901254432021,16596.70376819167
2012-08-01,15406.288065871287,13064.507665978035,17686.882660872132
2012-09-01,23116.940781523528,20747.75469893805,25442.786817165623
2012-10-01,17107.323090777478,14859.445639986041,19396.86670966608
2012-11-01,16417.85341915743,14028.573769435914,18678.5853311849
2012-12-01,16604.981067092584,14480.164593967991,18957.835713047712
2013-01-01,18807.57021948858,16593.95192458559,21065.109911418163
2013-02-01,18780.111600998593,16522.115028726414,21164.24348942345
2013-03-01,15098.115584740977,12756.803806812912,17361.74726929846
2013-04-01,16174.09532928265,13968.173782853035,18345.84849349676
2013-05-01,17841.938263002594,15623.22615493746,20010.99418810093
2013-06-01,16054.462093040005,13753.32367989551,18278.657963127604
2013-07-01,15267.067970616965,12910.090769644816,17589.38210542563
2013-08-01,16692.201899192332,14249.112364727118,19097.376069456826
2013-09-01,24155.172947643838,21841.609775451772,26539.54100756032
2013-10-01,17844.514027553003,15639.359657299168,20123.77074175483
2013-11-01,17595.255461763452,15226.260866541748,19973.726008066387
