대분류,카드 종류,사용구분,결제 방법,롯데카드,비씨카드(자체),삼성카드,신한카드,우리카드,하나카드,현대카드,KB국민카드,합계,년월
국내이용금액 ,신용카드,개인,일시불,7840394,180560,15050833,17359830,5771670,5804650,14410440,13039020,79457397,202302
국내이용금액 ,신용카드,개인,할부,2337970,60002,5773922,4159771,1580365,1481839,3344346,3338326,22076541,202302
국내이용금액 ,신용카드,개인,현금서비스,957955,2134,1571140,2056486,804271,552734,578832,1610424,8133976,202302
국내이용금액 ,신용카드,개인,카드론,776708,3782,1274300,1393924,623824,671918,626332,1013101,6383889,202302
국내이용금액 ,신용카드,법인,일시불,3034574,115420,2823962,2611906,3120748,2074024,3244065,3523784,20548483,202302
국내이용금액 ,신용카드,법인,할부,2045,14,5596,3594,35348,69269,10382,42063,168311,202302
국내이용금액 ,직불/체크카드,개인,일반,144280,2033,148753,3941860,2709125,1887371,74198,4887955,13795575,202302
국내이용금액 ,직불/체크카드,법인,일반,206,0,3828,651191,813244,508494,42242,951917,2971122,202302
해외이용금액,신용카드,개인,일시불,152381,3366,382121,353411,144350,174682,336435,320986,1867732,202302
해외이용금액,신용카드,개인,할부,0,0,33542,22503,0,0,26564,0,82609,202302
해외이용금액,신용카드,개인,현금서비스,1267,28,3448,4167,2253,2622,2214,5007,21006,202302
해외이용금액,신용카드,법인,일시불,90865,907,95334,109059,77699,86667,43624,100343,604498,202302
해외이용금액,신용카드,법인,현금서비스,12,0,43,66,68,47,0,28,264,202302
해외이용금액,직불/체크카드,개인,일반,355,0,725,134094,93512,144726,526,76062,450000,202302
해외이용금액,직불/체크카드,법인,일반,0,0,0,24341,25332,32727,0,22153,104553,202302
국내이용금액 ,신용카드,개인,일시불,12122775,290104,22975987,26752485,8986170,8831953,22240815,19919182,122119471,202303
국내이용금액 ,신용카드,개인,할부,3628484,93350,8605885,6447000,2483720,2185991,5136411,5144858,33725699,202303
국내이용금액 ,신용카드,개인,현금서비스,1480417,3611,2405175,3216335,1258071,855240,904610,2490251,12613710,202303
국내이용금액 ,신용카드,개인,카드론,1242872,6108,1934207,2108718,978970,1005185,1025874,1624845,9926779,202303
국내이용금액 ,신용카드,법인,일시불,4560068,162596,4372567,4018898,4443120,3432177,5778587,5650312,32418325,202303
국내이용금액 ,신용카드,법인,할부,3122,17,10032,5270,55865,119045,21539,64764,279654,202303
국내이용금액 ,직불/체크카드,개인,일반,223622,3074,226258,6056378,4162034,2897976,118091,7464779,21152212,202303
국내이용금액 ,직불/체크카드,법인,일반,311,0,5840,978931,1236420,754359,66674,1405985,4448520,202303
해외이용금액,신용카드,개인,일시불,224969,5590,568722,530315,216722,261752,509856,488417,2806343,202303
해외이용금액,신용카드,개인,할부,0,0,46835,33298,0,0,39885,0,120018,202303
해외이용금액,신용카드,개인,현금서비스,1844,34,5154,6338,3441,3967,3274,7653,31705,202303
해외이용금액,신용카드,법인,일시불,141118,1360,145415,176023,121304,138599,70030,156772,950621,202303
해외이용금액,신용카드,법인,현금서비스,17,0,65,66,104,82,0,40,374,202303
해외이용금액,직불/체크카드,개인,일반,561,0,1119,196136,137007,211722,804,112410,659759,202303
해외이용금액,직불/체크카드,법인,일반,0,0,0,36827,37533,49082,0,34279,157721,202303
국내이용금액 ,신용카드,개인,일시불,16343657,399981,30502613,35977919,12289475,11646415,29919928,26641317,163721305,202304
국내이용금액 ,신용카드,개인,할부,4949987,132496,10817954,8756133,3458858,2864570,6984664,6918934,44883596,202304
국내이용금액 ,신용카드,개인,현금서비스,1978713,5064,3154477,4270952,1690436,1141232,1213217,3311178,16765269,202304
국내이용금액 ,신용카드,개인,카드론,1702973,8680,2541201,2863387,1289839,1291533,1429225,2185614,13312452,202304
국내이용금액 ,신용카드,법인,일시불,6191167,228382,5947503,5466197,6319958,4704777,8494394,7286632,44639010,202304
국내이용금액 ,신용카드,법인,할부,54374,23,16399,7735,78154,177400,22923,88691,445699,202304
국내이용금액 ,직불/체크카드,개인,일반,302076,4053,298553,8099714,5552859,3900844,176504,9972350,28306953,202304
국내이용금액 ,직불/체크카드,법인,일반,404,0,7996,1320925,1682050,1003742,96688,1840059,5951864,202304
해외이용금액,신용카드,개인,일시불,290710,7586,742690,689444,281979,340325,677660,641515,3671909,202304
해외이용금액,신용카드,개인,할부,0,0,57302,42925,0,0,52947,0,153174,202304
해외이용금액,신용카드,개인,현금서비스,2414,42,6606,8191,4550,5055,4383,10043,41284,202304
해외이용금액,신용카드,법인,일시불,189221,1787,187647,239396,161234,185111,92445,208373,1265214,202304
해외이용금액,신용카드,법인,현금서비스,21,0,77,66,120,123,0,53,460,202304
해외이용금액,직불/체크카드,개인,일반,723,0,1463,252013,175298,277799,1228,144753,853277,202304
해외이용금액,직불/체크카드,법인,일반,0,0,0,48866,48697,63785,0,44996,206344,202304
국내이용금액 ,신용카드,개인,일시불,20727171,530827,38278850,45381196,15631206,14576326,38161905,33604203,206891684,202305
국내이용금액 ,신용카드,개인,할부,6309326,176862,13442822,10954957,4420800,3531193,8900971,8694588,56431519,202305
