RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,ALL_TURSM_TOUR_EXPNDTR_INTEN_VALUE,DMSTC_TURSM_TOUR_EXPNDTR_INTEN_VALUE,OVSEA_TURSM_TOUR_EXPNDTR_INTEN_VALUE
"28753","20240930","F","60대","충청남도(세종시 포함)","500이상700만원 미만","비슷하게","비슷하게","비슷하게"
"147287","20240930","F","60대","충청남도(세종시 포함)","300만원 미만","약간 더 적게","비슷하게","약간 더 적게"
"151887","20240930","M","30대","경상남도","300이상500만원 미만","약간 더 많이","비슷하게","비슷하게"
"157150","20240930","M","30대","울산광역시","300이상500만원 미만","훨씬 더 많이","약간 더 많이","훨씬 더 많이"
"183947","20240930","F","60대","경상북도","300이상500만원 미만","비슷하게","비슷하게","비슷하게"
"256121","20240930","F","60대","대구광역시","300만원 미만","약간 더 많이","비슷하게","약간 더 많이"
"317937","20240930","M","20대","경기도","300만원 미만","약간 더 많이","비슷하게","약간 더 많이"
"360890","20240930","M","20대","서울특별시","모름","훨씬 더 적게","비슷하게","약간 더 적게"
"364458","20240930","M","30대","경기도","300이상500만원 미만","비슷하게","약간 더 적게","약간 더 적게"
"364843","20240930","F","20대","서울특별시","300이상500만원 미만","비슷하게","비슷하게","비슷하게"
"368740","20240930","M","20대","서울특별시","500이상700만원 미만","훨씬 더 적게","훨씬 더 적게","훨씬 더 적게"
"382304","20240930","F","50대","강원도","300만원 미만","비슷하게","약간 더 많이","약간 더 많이"
"383279","20240930","F","20대","대구광역시","500이상700만원 미만","비슷하게","비슷하게","비슷하게"
"391206","20240930","M","20대","제주도","모름","훨씬 더 적게","약간 더 적게","약간 더 적게"
"401948","20240930","F","20대","제주도","모름","약간 더 많이","비슷하게","약간 더 많이"
"406160","20240930","F","20대","강원도","500이상700만원 미만","약간 더 많이","비슷하게","약간 더 많이"
"409117","20240930","M","20대","서울특별시","모름","비슷하게","비슷하게","비슷하게"
"409527","20240930","M","20대","서울특별시","700만원 이상","약간 더 적게","비슷하게","비슷하게"
"411574","20240930","F","20대","대구광역시","300이상500만원 미만","약간 더 적게","약간 더 많이","약간 더 적게"
"412276","20240930","F","20대","제주도","300이상500만원 미만","비슷하게","훨씬 더 많이","훨씬 더 많이"
"420778","20240930","F","20대","강원도","모름","비슷하게","비슷하게","비슷하게"
"420953","20240930","M","20대","서울특별시","300만원 미만","비슷하게","비슷하게","비슷하게"
"421795","20240930","F","60대","경상북도","700만원 이상","비슷하게","비슷하게","비슷하게"
"422095","20240930","M","20대","서울특별시","300이상500만원 미만","비슷하게","비슷하게","비슷하게"
"424043","20240930","M","20대","경기도","모름","비슷하게","비슷하게","비슷하게"
"424404","20240930","M","20대","대구광역시","500이상700만원 미만","약간 더 적게","훨씬 더 적게","훨씬 더 적게"
"424547","20240930","M","20대","경상남도","500이상700만원 미만","비슷하게","약간 더 적게","약간 더 적게"
"426032","20240930","M","20대","서울특별시","300만원 미만","약간 더 적게","비슷하게","약간 더 적게"
"431925","20240930","M","20대","부산광역시","모름","훨씬 더 적게","훨씬 더 적게","훨씬 더 적게"
"433226","20240930","F","60대","울산광역시","300만원 미만","약간 더 적게","비슷하게","약간 더 많이"
"436102","20240930","M","20대","경기도","모름","약간 더 많이","비슷하게","약간 더 많이"
"439927","20240930","M","30대","충청남도(세종시 포함)","300이상500만원 미만","비슷하게","비슷하게","비슷하게"
"442741","20240930","M","20대","인천광역시","모름","훨씬 더 많이","약간 더 많이","약간 더 많이"
"444111","20240930","F","60대","경상남도","300이상500만원 미만","비슷하게","약간 더 적게","비슷하게"
"446070","20240930","M","20대","서울특별시","모름","비슷하게","비슷하게","비슷하게"
"447283","20240930","F","60대","경상남도","모름","훨씬 더 많이","훨씬 더 많이","훨씬 더 많이"
"451594","20240930","M","20대","서울특별시","300이상500만원 미만","약간 더 많이","비슷하게","약간 더 적게"
"451634","20240930","M","20대","전라남도","모름","약간 더 많이","약간 더 많이","비슷하게"
"454752","20240930","M","20대","인천광역시","300이상500만원 미만","약간 더 적게","훨씬 더 많이","약간 더 많이"
"454830","20240930","M","20대","전라북도","300만원 미만","비슷하게","비슷하게","약간 더 많이"
"455893","20240930","M","30대","충청남도(세종시 포함)","500이상700만원 미만","훨씬 더 적게","비슷하게","훨씬 더 적게"
"458648","20240930","M","20대","경기도","모름","비슷하게","비슷하게","비슷하게"
"460300","20240930","M","20대","경기도","300만원 미만","비슷하게","약간 더 많이","비슷하게"
"463695","20240930","F","20대","경상남도","모름","약간 더 적게","약간 더 적게","약간 더 적게"
"465833","20240930","F","20대","울산광역시","모름","약간 더 많이","비슷하게","약간 더 많이"
"468171","20240930","M","20대","서울특별시","모름","약간 더 적게","약간 더 적게","비슷하게"
"469851","20240930","M","20대","인천광역시","300만원 미만","약간 더 많이","약간 더 많이","비슷하게"
"470256","20240930","F","20대","서울특별시","모름","비슷하게","비슷하게","비슷하게"
"471336","20240930","M","20대","울산광역시","700만원 이상","비슷하게","비슷하게","비슷하게"
"475036","20240930","M","20대","충청북도","모름","훨씬 더 적게","훨씬 더 적게","훨씬 더 적게"
"475304","20240930","M","20대","서울특별시","300이상500만원 미만","비슷하게","비슷하게","비슷하게"
"477042","20240930","F","60대","울산광역시","700만원 이상","약간 더 많이","비슷하게","약간 더 많이"
"478854","20240930","F","60대","경상남도","700만원 이상","비슷하게","훨씬 더 많이","훨씬 더 많이"
"53322245","20240930","F","50대","서울특별시","500이상700만원 미만","비슷하게","비슷하게","비슷하게"
"53322352","20240930","F","50대","서울특별시","700만원 이상","비슷하게","비슷하게","비슷하게"
"53322896","20240930","F","50대","서울특별시","500이상700만원 미만","약간 더 많이","약간 더 많이","약간 더 많이"
"53322931","20240930","F","50대","서울특별시","700만원 이상","약간 더 많이","약간 더 많이","약간 더 많이"
"53322970","20240930","F","40대","충청북도","700만원 이상","비슷하게","약간 더 적게","약간 더 많이"
"53323219","20240930","M","60대","서울특별시","500이상700만원 미만","약간 더 많이","약간 더 많이","약간 더 많이"
"53323297","20240930","F","50대","서울특별시","700만원 이상","비슷하게","비슷하게","약간 더 적게"
"53323577","20240930","F","40대","서울특별시","700만원 이상","약간 더 적게","약간 더 많이","약간 더 적게"
"53323757","20240930","M","60대","서울특별시","700만원 이상","비슷하게","비슷하게","비슷하게"
"53323809","20240930","M","60대","서울특별시","700만원 이상","비슷하게","비슷하게","비슷하게"
"53323991","20240930","M","40대","서울특별시","500이상700만원 미만","약간 더 적게","비슷하게","비슷하게"
"53324118","20240930","M","50대","서울특별시","모름","비슷하게","비슷하게","비슷하게"
"53324428","20240930","F","20대","서울특별시","모름","약간 더 많이","약간 더 많이","비슷하게"
"53324434","20240930","F","30대","경기도","모름","약간 더 많이","약간 더 많이","약간 더 적게"
"53324471","20240930","M","30대","서울특별시","700만원 이상","비슷하게","비슷하게","비슷하게"
"53324711","20240930","M","40대","서울특별시","300이상500만원 미만","약간 더 적게","약간 더 적게","훨씬 더 적게"
"53324737","20240930","M","30대","서울특별시","모름","약간 더 적게","약간 더 적게","약간 더 적게"
"53324826","20240930","M","60대","서울특별시","500이상700만원 미만","비슷하게","약간 더 많이","비슷하게"
"53324973","20240930","M","60대","서울특별시","300이상500만원 미만","훨씬 더 많이","약간 더 많이","약간 더 많이"
"53325012","20240930","F","30대","서울특별시","300만원 미만","약간 더 적게","훨씬 더 적게","비슷하게"
"53325056","20240930","F","60대","서울특별시","500이상700만원 미만","비슷하게","비슷하게","비슷하게"
"53325084","20240930","F","40대","서울특별시","300만원 미만","약간 더 많이","약간 더 많이","약간 더 많이"
"53325109","20240930","F","40대","서울특별시","모름","비슷하게","약간 더 적게","약간 더 적게"
"53325222","20240930","F","60대","서울특별시","700만원 이상","약간 더 많이","약간 더 많이","약간 더 많이"
"53325386","20240930","F","20대","서울특별시","700만원 이상","훨씬 더 많이","훨씬 더 많이","훨씬 더 많이"
"53325643","20240930","F","50대","서울특별시","500이상700만원 미만","약간 더 적게","비슷하게","약간 더 많이"
"53325999","20240930","M","50대","전라북도","700만원 이상","비슷하게","비슷하게","비슷하게"
"53326004","20240930","F","50대","울산광역시","700만원 이상","비슷하게","비슷하게","비슷하게"
"53326051","20240930","M","40대","서울특별시","500이상700만원 미만","비슷하게","비슷하게","비슷하게"
"53326110","20240930","M","60대","경기도","500이상700만원 미만","비슷하게","비슷하게","비슷하게"
"53326348","20240930","F","60대","부산광역시","300만원 미만","비슷하게","약간 더 많이","비슷하게"
"53326521","20240930","F","60대","충청남도(세종시 포함)","300만원 미만","훨씬 더 많이","약간 더 많이","훨씬 더 많이"
"53326651","20240930","F","40대","부산광역시","700만원 이상","약간 더 많이","약간 더 많이","약간 더 많이"
"53326737","20240930","F","30대","전라북도","300이상500만원 미만","훨씬 더 적게","약간 더 적게","약간 더 적게"
"53326820","20240930","M","30대","서울특별시","700만원 이상","비슷하게","비슷하게","비슷하게"
"53326944","20240930","F","50대","경기도","300이상500만원 미만","약간 더 적게","약간 더 적게","약간 더 적게"
"53327058","20240930","M","30대","부산광역시","300이상500만원 미만","훨씬 더 적게","훨씬 더 적게","훨씬 더 적게"
"53327216","20240930","M","40대","충청북도","500이상700만원 미만","약간 더 많이","약간 더 많이","비슷하게"
"53327328","20240930","F","50대","인천광역시","700만원 이상","약간 더 많이","약간 더 많이","약간 더 많이"
"53327406","20240930","M","60대","경상북도","300만원 미만","약간 더 많이","비슷하게","약간 더 많이"
"53327729","20240930","M","50대","부산광역시","모름","약간 더 많이","약간 더 많이","약간 더 많이"
"53327850","20240930","M","50대","경기도","500이상700만원 미만","약간 더 적게","약간 더 적게","약간 더 적게"
"53327888","20240930","F","50대","경상남도","300만원 미만","약간 더 많이","약간 더 많이","약간 더 많이"
"53328221","20240930","M","30대","경상북도","500이상700만원 미만","비슷하게","약간 더 적게","비슷하게"
"53328233","20240930","F","60대","대구광역시","700만원 이상","약간 더 많이","약간 더 많이","약간 더 많이"
"53328244","20240930","M","40대","인천광역시","모름","비슷하게","비슷하게","비슷하게"
"53328293","20240930","F","30대","대구광역시","모름","비슷하게","비슷하게","비슷하게"
"53328341","20240930","M","40대","경기도","700만원 이상","약간 더 많이","약간 더 많이","약간 더 많이"
"53328343","20240930","M","40대","경기도","500이상700만원 미만","약간 더 적게","약간 더 적게","훨씬 더 적게"
"53328471","20240930","F","20대","경상남도","모름","약간 더 적게","약간 더 많이","약간 더 적게"
"53328591","20240930","M","50대","서울특별시","모름","약간 더 많이","약간 더 적게","훨씬 더 많이"
"53328651","20240930","F","30대","경상북도","300이상500만원 미만","약간 더 많이","약간 더 많이","약간 더 많이"
"53328925","20240930","M","60대","대전광역시","모름","약간 더 많이","약간 더 많이","약간 더 많이"
"53328929","20240930","F","30대","경상북도","300만원 미만","약간 더 적게","약간 더 적게","약간 더 적게"
"53329140","20240930","M","40대","부산광역시","300이상500만원 미만","비슷하게","비슷하게","비슷하게"
"53329187","20240930","M","40대","경기도","500이상700만원 미만","비슷하게","약간 더 적게","약간 더 적게"
"53329193","20240930","F","40대","경기도","700만원 이상","약간 더 많이","약간 더 많이","약간 더 많이"
"53329287","20240930","F","30대","경기도","500이상700만원 미만","비슷하게","약간 더 많이","비슷하게"
"53329303","20240930","M","40대","강원도","700만원 이상","약간 더 많이","훨씬 더 많이","훨씬 더 많이"
"53329403","20240930","F","60대","부산광역시","700만원 이상","비슷하게","비슷하게","비슷하게"
"53329857","20240930","M","60대","충청남도(세종시 포함)","700만원 이상","비슷하게","비슷하게","비슷하게"
"53329981","20240930","F","30대","전라북도","300만원 미만","훨씬 더 많이","비슷하게","약간 더 많이"
"53330308","20240930","F","50대","인천광역시","모름","비슷하게","비슷하게","비슷하게"
"53330350","20240930","F","30대","부산광역시","300이상500만원 미만","비슷하게","비슷하게","비슷하게"
"53330629","20240930","M","60대","경기도","500이상700만원 미만","비슷하게","비슷하게","약간 더 많이"
"53330728","20240930","F","50대","경기도","300이상500만원 미만","약간 더 적게","약간 더 적게","약간 더 적게"
"53330755","20240930","F","50대","서울특별시","300만원 미만","비슷하게","비슷하게","비슷하게"
"53330819","20240930","M","40대","경기도","500이상700만원 미만","약간 더 많이","약간 더 많이","비슷하게"
"53330827","20240930","F","30대","경기도","300이상500만원 미만","약간 더 많이","약간 더 많이","약간 더 많이"
"53330830","20240930","F","30대","경상남도","모름","약간 더 많이","약간 더 많이","약간 더 많이"
"53330894","20240930","M","50대","전라북도","500이상700만원 미만","훨씬 더 적게","훨씬 더 적게","훨씬 더 적게"
"53331071","20240930","M","60대","경기도","700만원 이상","약간 더 많이","약간 더 많이","약간 더 많이"
"53331263","20240930","F","40대","서울특별시","500이상700만원 미만","비슷하게","비슷하게","비슷하게"
"53331271","20240930","M","40대","서울특별시","500이상700만원 미만","비슷하게","비슷하게","비슷하게"
"53331279","20240930","F","40대","경기도","모름","약간 더 적게","비슷하게","비슷하게"
"53331315","20240930","F","30대","경기도","300이상500만원 미만","비슷하게","약간 더 많이","비슷하게"
"53331388","20240930","M","30대","경기도","500이상700만원 미만","훨씬 더 많이","훨씬 더 많이","훨씬 더 많이"
"53331528","20240930","M","20대","경기도","모름","비슷하게","비슷하게","비슷하게"
"53331638","20240930","M","60대","울산광역시","700만원 이상","비슷하게","비슷하게","약간 더 많이"
"53331841","20240930","M","50대","광주광역시","모름","약간 더 적게","약간 더 적게","약간 더 적게"
"53331983","20240930","M","40대","충청북도","모름","비슷하게","비슷하게","비슷하게"
"53332025","20240930","F","40대","충청남도(세종시 포함)","700만원 이상","비슷하게","훨씬 더 많이","훨씬 더 많이"
"53332034","20240930","M","40대","인천광역시","700만원 이상","훨씬 더 적게","훨씬 더 많이","비슷하게"
"53332091","20240930","M","30대","경기도","300이상500만원 미만","비슷하게","비슷하게","비슷하게"
"53332232","20240930","M","60대","전라북도","500이상700만원 미만","약간 더 적게","약간 더 적게","약간 더 적게"
"53332672","20240930","F","20대","전라남도","모름","약간 더 적게","약간 더 적게","약간 더 적게"
"53332826","20240930","F","50대","경기도","300이상500만원 미만","비슷하게","약간 더 적게","비슷하게"
"53332915","20240930","M","30대","서울특별시","모름","약간 더 많이","약간 더 많이","훨씬 더 적게"
"53332974","20240930","M","30대","경기도","모름","약간 더 많이","약간 더 많이","약간 더 많이"
"53333036","20240930","M","50대","경기도","300만원 미만","약간 더 적게","약간 더 적게","훨씬 더 적게"
"53333086","20240930","M","50대","경기도","700만원 이상","약간 더 적게","훨씬 더 적게","약간 더 적게"
"53333135","20240930","M","50대","충청남도(세종시 포함)","500이상700만원 미만","훨씬 더 적게","훨씬 더 적게","훨씬 더 적게"
"53333164","20240930","M","20대","광주광역시","모름","약간 더 많이","약간 더 많이","약간 더 많이"
"53333234","20240930","M","60대","경기도","700만원 이상","약간 더 많이","약간 더 많이","약간 더 많이"
"53333326","20240930","F","50대","경기도","500이상700만원 미만","약간 더 적게","비슷하게","약간 더 많이"
"53333376","20240930","F","50대","대구광역시","모름","약간 더 많이","약간 더 많이","약간 더 많이"
"53333389","20240930","F","60대","전라북도","300만원 미만","비슷하게","약간 더 적게","비슷하게"
"53333422","20240930","F","20대","경기도","300만원 미만","비슷하게","약간 더 많이","약간 더 적게"
"53333643","20240930","M","50대","부산광역시","700만원 이상","비슷하게","약간 더 적게","비슷하게"
"53333647","20240930","F","60대","부산광역시","300만원 미만","약간 더 많이","약간 더 많이","약간 더 많이"
"53334246","20240930","F","60대","경기도","300만원 미만","약간 더 많이","약간 더 많이","약간 더 많이"
"53334579","20240930","M","20대","경상남도","모름","비슷하게","비슷하게","비슷하게"
"53334775","20240930","F","40대","경기도","700만원 이상","약간 더 많이","약간 더 많이","훨씬 더 많이"
"53334861","20240930","F","30대","전라북도","700만원 이상","약간 더 많이","비슷하게","약간 더 많이"
"53334877","20240930","M","30대","경상남도","모름","약간 더 많이","약간 더 적게","약간 더 적게"
"53335197","20240930","M","60대","서울특별시","500이상700만원 미만","비슷하게","비슷하게","약간 더 적게"
"53335254","20240930","M","60대","충청북도","모름","약간 더 많이","약간 더 많이","약간 더 많이"
"53335421","20240930","M","20대","경기도","모름","비슷하게","비슷하게","비슷하게"
"53335501","20240930","F","20대","경상북도","모름","비슷하게","비슷하게","비슷하게"
